id,name,country_code,description,homepage_url,grants_count,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,institution_role,funder_role,publisher_role,updated_date,created_date
F4320322395,Lynette Sullivan Memorial Trust,NZ,foundation in New Zealand,,0,1,23,0,1,1,,F4320322395,,2023-06-09,2023-02-13
F4320333286,"Arthritis Center, Johns Hopkins University",US,,,0,2,23,0,1,1,,F4320333286,,2023-06-09,2023-02-13
F4320333852,"HIV and Drug Abuse Prevention Research Ethics Training Institute, Fordham University",US,,,2,2,23,5.0,2,1,,F4320333852,,2023-06-09,2023-02-13
F4320315549,Fredheim Stiftung,LI,,,0,1,22,0,1,1,,F4320315549,,2023-06-09,2023-02-13
F4320317836,Les Amis des Instituts Pasteur à Bruxelles,BE,,,1,2,22,0,1,1,,F4320317836,,2023-06-09,2023-02-13
F4320328845,National Key Laboratory of Power Sources,CN,,,0,1,22,9.0,1,1,,F4320328845,,2023-06-09,2023-02-13
F4320333373,Ben Franklin Technology Partners of Northeastern Pennsylvania,US,,,1,4,22,3.5,2,1,,F4320333373,,2023-06-09,2023-02-13
F4320337999,Intel Science and Technology Center for Big Data,US,,,0,1,22,0,1,1,,F4320337999,,2023-06-09,2023-02-13
F4320312098,Fertility Associates,NZ,,,0,2,21,1.0,2,1,,F4320312098,,2023-06-09,2023-02-13
F4320313230,German History Society,GB,Great Britain,,0,3,21,0,2,1,,F4320313230,,2023-06-09,2023-02-13
F4320324360,Fundația ADEPT,RO,,,1,3,21,9.0,2,1,,F4320324360,,2023-06-09,2023-02-13
F4320325324,Lyfjafræðingafélags Íslands,IS,,,0,2,21,0,1,1,,F4320325324,,2023-06-09,2023-02-13
F4320335717,Centre of Expertise in Energetic Materials,AU,,,0,2,21,0,2,1,,F4320335717,,2023-06-09,2023-02-13
F4320307537,Edgar and Marion Beck Foundation,US,foundation in United States of America,,0,1,20,0,1,1,,F4320307537,,2023-06-09,2023-02-13
F4320309041,CeNeRx,US,,,0,4,20,1.0,3,0,,F4320309041,,2023-06-09,2023-02-13
F4320315223,Association for the Scientific Study of Anomalous Phenomena,GB,organization,,1,1,20,10.0,1,1,,F4320315223,,2023-06-09,2023-02-13
F4320316059,Associazione Fatebenefratelli per la Ricerca,IT,,,0,2,20,0,2,1,,F4320316059,,2023-06-09,2023-02-13
F4320324056,Herbert und Inge Lampe-Stiftung,DE,foundation in Germany,,0,1,20,0,1,1,,F4320324056,,2023-06-09,2023-02-13
F4320327381,European Society of Clinical Pharmacy,NL,,,1,1,20,0,1,1,,F4320327381,,2023-06-09,2023-02-13
F4320328452,Fundación Unoentrecienmil,ES,,,1,3,20,0,2,1,,F4320328452,,2023-06-09,2023-02-13
F4320329251,Agora Energiewende,DE,German think tank,https://www.agora-energiewende.de,0,1,20,6.0,1,1,,F4320329251,,2023-06-09,2023-02-13
F4320335658,Key Laboratory for Plant Diversity and Biogeography of East Asia,CN,,,1,3,20,0,2,1,,F4320335658,,2023-06-09,2023-02-13
F4320309322,Gerry Foundation,US,,,0,1,19,0,1,1,,F4320309322,,2023-06-09,2023-02-13
F4320309345,Maggie Foundation For The Premature and Pediatric Pulmonary Patient,US,foundation in United States of America,,0,1,19,0,1,1,,F4320309345,,2023-06-09,2023-02-13
F4320309401,William and Mary Ann Wockenfuss Research Fund Endowment,US,foundation in United States of America,,0,2,19,0,1,1,,F4320309401,,2023-06-09,2023-02-13
F4320313590,Wood Kalb Foundation,US,,,1,1,19,0,1,1,,F4320313590,,2023-06-09,2023-02-13
F4320328782,Latvijas Vides Aizsardzības Fonda Administrācijas,LV,,,3,4,19,1.0,3,0,,F4320328782,,2023-06-09,2023-02-13
F4320333338,"College of Graduate Studies, University of Toledo",US,,,3,2,19,0,2,1,,F4320333338,,2023-06-09,2023-02-13
F4320335948,"Zepler Institute, University of Southampton",GB,,,1,3,19,5.0,2,1,,F4320335948,,2023-06-09,2023-02-13
F4320309430,Dr. Marius E. Johnston and Margaret Johnston Wright Memorial Trust,US,nonprofit organization in United States of America,,1,1,18,0,1,1,,F4320309430,,2023-06-09,2023-02-13
F4320315680,Cognoptix,US,,,0,1,18,0,1,1,,F4320315680,,2023-06-09,2023-02-13
F4320318428,Max Planck Institute for Software Systems,DE,computer Science research institute,https://www.mpi-sws.org,0,1,18,0,1,1,,F4320318428,,2023-06-09,2023-02-13
F4320327855,G.L. Pharma,AT,,,0,2,18,0,2,1,,F4320327855,,2023-06-09,2023-02-13
F4320333537,"West Virginia Water Research Institute, West Virginia University",US,,,1,4,18,4.0,3,0,,F4320333537,,2023-06-09,2023-02-13
F4320337236,"Graduate School of Health, University of Technology Sydney",AU,,,0,2,18,0,2,1,,F4320337236,,2023-06-09,2023-02-13
F4320309159,HCR ManorCare Gives,US,,,1,1,17,0,1,1,,F4320309159,,2023-06-09,2023-02-13
F4320310560,Associated Western Universities,US,,,0,1,17,0,1,1,,F4320310560,,2023-06-09,2023-02-13
F4320325274,Ministry of Energy and Energy Industries,TT,,,0,4,17,2.0,2,1,,F4320325274,,2023-06-09,2023-02-13
F4320325462,Teknofil,TR,,,0,1,17,0,1,1,,F4320325462,,2023-06-09,2023-02-13
F4320327750,Stichting Onderzoek Licht en Gezondheid,NL,,,1,1,17,0,1,1,,F4320327750,,2023-06-09,2023-02-13
F4320329249,"State Key Laboratory of Metamaterial Electromagnetic Modulation Technology, Kuang-Chi Institute",CN,,,2,2,17,8.0,1,1,,F4320329249,,2023-06-09,2023-02-13
F4320332876,Behavioral Neuroscience and Comparative Psychology,US,professional society in United States of America,https://www.apadivisions.org/division-6,0,1,17,0,1,1,,F4320332876,,2023-06-09,2023-02-13
F4320333342,"Baker-Nord Center for the Humanities, Case Western Reserve University",US,,,1,2,17,0,1,1,,F4320333342,,2023-06-09,2023-02-13
F4320333350,"School of Law, University of Warwick",GB,,,1,4,17,1.0,3,0,,F4320333350,,2023-06-09,2023-02-13
F4320312601,Australian Association for Research in Education,AU,professional society in Australia,https://www.aare.edu.au,1,1,16,4.0,1,1,,F4320312601,,2023-06-09,2023-02-13
F4320312707,African Fellowship Trust,ZA,,,1,2,16,0,2,1,,F4320312707,,2023-06-09,2023-02-13
F4320313120,Academy of Leisure Sciences,US,,,2,2,16,0,2,1,,F4320313120,,2023-06-09,2023-02-13
F4320314049,Bringing Theory to Practice,US,,,0,1,16,0,1,1,,F4320314049,,2023-06-09,2023-02-13
F4320315208,Strathmartine Trust,GB,,,2,3,16,7.0,2,1,,F4320315208,,2023-06-09,2023-02-13
F4320323213,Sigge Perssons och Alice Nybergs Stiftelse för Odontologisk Forskning,SE,foundation in Sweden,,1,2,16,0,2,1,,F4320323213,,2023-06-09,2023-02-13
F4320327199,Liepaja City Council,LV,,,0,1,16,0,1,1,,F4320327199,,2023-06-09,2023-02-13
F4320328299,Koninklijke Nederlandse Chemische Vereniging,NL,organization,http://www.kncv.nl,1,2,16,1.0,2,1,,F4320328299,,2023-06-09,2023-02-13
F4320329584,Sir Richard Stapley Educational Trust,GB,,,1,6,16,0.5,2,1,,F4320329584,,2023-06-09,2023-02-13
F4320329683,Soester Marie Dalgaards Foundation,DK,,,0,1,16,0,1,1,,F4320329683,,2023-06-09,2023-02-13
F4320335532,"Graduate School, Maejo University",TH,,,0,1,16,0,1,1,,F4320335532,,2023-06-09,2023-02-13
F4320335824,"Interdisciplinary Cluster for Cutting Edge Research, Shinshu University",JP,,,2,4,16,0,1,1,,F4320335824,,2023-06-09,2023-02-13
F4320313534,Save-A-Limb Fund,US,,,0,1,15,0,1,1,,F4320313534,,2023-06-09,2023-02-13
F4320313545,Community Mental Health Drug and Alcohol Research Network,AU,,,0,2,15,0,2,1,,F4320313545,,2023-06-09,2023-02-13
F4320316552,Tyrosinemia Foundation,NL,,,0,1,15,0,1,1,,F4320316552,,2023-06-09,2023-02-13
F4320318599,Propontis Foundation,GR,,,0,3,15,0,2,0,,F4320318599,,2023-06-09,2023-02-13
F4320325769,Sakakibara Heart Institute of Okayama,JP,"healthcare organization in Okayama, Japan",http://www.sakakibara-hp.com,2,5,15,1.3333333333333333,2,0,,F4320325769,,2023-06-09,2023-02-13
F4320326093,Asociación para el estudio de la Gliomatosis Cerebri infantil,ES,,,0,1,15,0,1,1,,F4320326093,,2023-06-09,2023-02-13
F4320331413,Herzog von Cumberland Stiftung,AT,,,0,1,15,0,1,1,,F4320331413,,2023-06-09,2023-02-13
F4320333529,"Maine Water Resources Research Institute, University of Maine",US,,,2,3,15,0,2,1,,F4320333529,,2023-06-09,2023-02-13
F4320336235,"China-Africa Joint Center for Research and Education, CAS",CN,,,0,2,15,6.0,2,1,,F4320336235,,2023-06-09,2023-02-13
F4320337508,Program and Site Support,US,government organization in United States of America,,2,3,15,0,1,1,,F4320337508,,2023-06-09,2023-02-13
F4320307605,Michael Fund International Foundation for Genetics Research,US,foundation in United States of America,,0,3,14,0,2,0,,F4320307605,,2023-06-09,2023-02-13
F4320316151,Northern New York Audubon,US,,,0,3,14,0,2,1,,F4320316151,,2023-06-09,2023-02-13
F4320319325,Seaside Therapeutics,US,,,0,1,14,0,1,1,,F4320319325,,2023-06-09,2023-02-13
F4320319488,Schramm Foundation,US,,,0,3,14,5.0,2,1,,F4320319488,,2023-06-09,2023-02-13
F4320328827,BAFFI CAREFIN,IT,research group,https://www.bafficarefin.unibocconi.eu,0,2,14,2.0,2,1,,F4320328827,,2023-06-09,2023-02-13
F4320329294,Tianjin Women's and Children's Health Center,CN,,,1,3,14,2.6666666666666665,3,0,,F4320329294,,2023-06-09,2023-02-13
F4320336110,Centre for Individualised Medicine in Arterial Diseases,DK,,,0,1,14,6.0,1,1,,F4320336110,,2023-06-09,2023-02-13
F4320336279,"Senter for rus- og avhengighetsforskning, Universitetet i Oslo",NO,,,2,3,14,2.3333333333333335,3,0,,F4320336279,,2023-06-09,2023-02-13
F4320306800,Phelps Stokes Fund,US,Nonprofit fund,,0,2,13,0,2,1,,F4320306800,,2023-06-09,2023-02-13
F4320313647,MGM Resorts Foundation,US,,,1,1,13,0,1,1,,F4320313647,,2023-06-09,2023-02-13
F4320314500,Fondation pour la recherche juridique,CA,,,0,1,13,5.0,1,1,,F4320314500,,2023-06-09,2023-02-13
F4320315255,Pandas Physicians Network,US,,,0,1,13,0,1,1,,F4320315255,,2023-06-09,2023-02-13
F4320316368,Geschwister Boehringer Ingelheim Stiftung für Geisteswissenschaften,DE,,,1,2,13,4.0,1,1,,F4320316368,,2023-06-09,2023-02-13
F4320323964,Carabel,IT,,,0,1,13,0,1,1,,F4320323964,,2023-06-09,2023-02-13
F4320325557,Changzhou Trina Solar Energy,CN,business enterprise in People's Republic of China,,1,1,13,5.0,1,1,,F4320325557,,2023-06-09,2023-02-13
F4320325798,Fundación Juan Ramón Guillén,ES,,,1,2,13,0,2,1,,F4320325798,,2023-06-09,2023-02-13
F4320326844,Beijing Key Laboratory of Ophthalmology and Visual Science,CN,,,1,2,13,1.0,1,1,,F4320326844,,2023-06-09,2023-02-13
F4320328334,Deutsche Hautkrebs-Stiftung,DE,,,1,1,13,0,1,1,,F4320328334,,2023-06-09,2023-02-13
F4320333152,"Department of Urology, Medical University of South Carolina",US,government organization in United States of America,,0,1,13,0,1,1,,F4320333152,,2023-06-09,2023-02-13
F4320333720,"Friedman Brain Institute, Icahn School of Medicine at Mount Sinai",US,,,0,3,13,4.0,2,0,,F4320333720,,2023-06-09,2023-02-13
F4320312758,Clinical Genetics Society,GB,,,0,1,12,4.0,1,1,,F4320312758,,2023-06-09,2023-02-13
F4320313267,Research Society for Victorian Periodicals,US,interdisciplinary group of scholars fomred in 1968,,2,2,12,0,1,1,,F4320313267,,2023-06-09,2023-02-13
F4320313457,Bernard and Anne Spitzer Foundation,US,,,1,3,12,0,1,1,,F4320313457,,2023-06-09,2023-02-13
F4320314586,Swimathon Foundation,GB,,,1,1,12,5.0,1,1,,F4320314586,,2023-06-09,2023-02-13
F4320315226,Society for Nautical Research,GB,British historical society for nautical history,http://www.snr.org.uk,1,5,12,1.25,2,0,,F4320315226,,2023-06-09,2023-02-13
F4320315240,Society for Post-Medieval Archaeology,GB,a society for the study and promotion of historical archaeology,http://www.spma.org.uk,0,1,12,0,1,1,,F4320315240,,2023-06-09,2023-02-13
F4320316936,Office of Science Engagement,US,,,0,1,12,2.0,1,1,,F4320316936,,2023-06-09,2023-02-13
F4320317646,Robert and Mary Jane Engman Foundation,US,,,1,1,12,5.0,1,1,,F4320317646,,2023-06-09,2023-02-13
F4320318406,Sankei Science Scholarship Foundation,JP,,,2,4,12,0,1,1,,F4320318406,,2023-06-09,2023-02-13
F4320318511,Petra och Karl Erik Hedborgs Stiftelse,SE,,,0,1,12,2.0,1,1,,F4320318511,,2023-06-09,2023-02-13
F4320321809,"National Advisory Council for the Handicapped, Australia",AU,government organization in Australia,,0,1,12,0,1,1,,F4320321809,,2023-06-09,2023-02-13
F4320325056,Cooperativa Farmacéutica de Tenerife,ES,professional society in Spain,,0,2,12,0,1,1,,F4320325056,,2023-06-09,2023-02-13
F4320328307,Spoedeisende Geneeskunde Onderzoeksfonds,NL,,,1,5,12,4.5,2,0,,F4320328307,,2023-06-09,2023-02-13
F4320328457,X-Bolt Orthopaedics,IE,,,0,1,12,0,1,1,,F4320328457,,2023-06-09,2023-02-13
F4320330322,Paper Manufacturers Association of South Africa,ZA,,,1,5,12,1.5,2,0,,F4320330322,,2023-06-09,2023-02-13
F4320331456,Fondation Jonas,CH,,,0,2,12,0,1,1,,F4320331456,,2023-06-09,2023-02-13
F4320333178,Foundation for Neonatal Research and Education,US,foundation in United States of America,,1,2,12,5.0,2,0,,F4320333178,,2023-06-09,2023-02-13
F4320333197,Penn State Health Children's Hospital,US,government organization in United States of America,,1,4,12,3.0,2,0,,F4320333197,,2023-06-09,2023-02-13
F4320335365,"Centre for Paediatrics and Child Health, University of Manchester",GB,academic institution in United Kingdom,,0,3,12,2.3333333333333335,2,0,,F4320335365,,2023-06-09,2023-02-13
F4320337057,"Global Challenges Doctoral Centre, University of Kent",GB,,,0,1,12,5.0,1,1,,F4320337057,,2023-06-09,2023-02-13
F4320337831,"James Buchanan Brady Urological Institute, School of Medicine, Johns Hopkins",US,,,0,3,12,3.5,2,0,,F4320337831,,2023-06-09,2023-02-13
F4320337863,EU Aid Volunteers,,,,0,3,12,2.3333333333333335,3,0,,F4320337863,,2023-06-09,2023-02-13
F4320338127,National Marine Important Charity Special Foundation of China,CN,,,1,2,12,0,2,0,,F4320338127,,2023-06-09,2023-02-13
F4320312507,International Society of Oncology and Biomarkers,GB,,,1,1,11,0,1,1,,F4320312507,,2023-06-09,2023-02-13
F4320313174,Great Lakes Hemophilia Foundation,US,foundation in United States of America,,0,2,11,3.0,2,0,,F4320313174,,2023-06-09,2023-02-13
F4320315199,Society for the Advancement of Anaesthesia in Dentistry,GB,,,0,2,11,0,2,0,,F4320315199,,2023-06-09,2023-02-13
F4320315242,Society for Caribbean Studies,GB,,,2,1,11,0,1,1,,F4320315242,,2023-06-09,2023-02-13
F4320315400,Texas Research Society on Alcoholism,US,,,0,1,11,0,1,1,,F4320315400,,2023-06-09,2023-02-13
F4320317231,Chelonian Research Foundation,US,nonprofit organization focused on chelonian diversity and conservation,http://www.chelonian.org,0,2,11,1.0,2,0,,F4320317231,,2023-06-09,2023-02-13
F4320317300,EGI Federation,,,,0,1,11,5.0,1,1,,F4320317300,,2023-06-09,2023-02-13
F4320317603,Urological Foundation,GB,,,1,2,11,1.0,2,0,,F4320317603,,2023-06-09,2023-02-13
F4320317703,MTI Biotech,US,,,1,1,11,0,1,1,,F4320317703,,2023-06-09,2023-02-13
F4320318956,National Corn Growers Association,US,,http://www.ncga.com,0,2,11,0,2,0,,F4320318956,,2023-06-09,2023-02-13
F4320325493,Jubiläumsstiftung der Mobiliar,CH,foundation in Switzerland,,0,2,11,2.0,2,0,,F4320325493,,2023-06-09,2023-02-13
F4320326003,Maud och Birger Gustavssons Stiftelser,SE,,,1,2,11,1.5,2,0,,F4320326003,,2023-06-09,2023-02-13
F4320326376,Henny og Helge Holgersens Mindelegat,DK,,,0,2,11,0,1,1,,F4320326376,,2023-06-09,2023-02-13
F4320327130,International Arctic Social Sciences Association,US,,https://iassa.org,0,1,11,0,1,1,,F4320327130,,2023-06-09,2023-02-13
F4320327230,Brial Energías,ES,,,0,1,11,0,1,1,,F4320327230,,2023-06-09,2023-02-13
F4320327666,Key Laboratory of Unmanned Aerial Vehicle Telemetry,CN,,,1,1,11,6.0,1,1,,F4320327666,,2023-06-09,2023-02-13
F4320328276,British Council France,FR,cultural center in Paris,https://www.britishcouncil.fr/en,0,1,11,4.0,1,1,,F4320328276,,2023-06-09,2023-02-13
