id,ror,name,type,homepage_url,repos,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,country_code,country,region,city,latitude,longitude,associated_institutions,institution_role,funder_role,publisher_role,x_concepts,works_api_url,updated_date,created_date
I4210089147,https://ror.org/006kkkp25,Miller Canfield (United States),company,https://www.millercanfield.com/,,12,104,0,2,1,US,United States,Michigan,Detroit,42.581356,-83.24069,,I4210089147,,,"C17744445,C144133560,C199539241,C162324750,C41008148,C10138342,C121955636,C138885662,C86803240,C94625758,C18903297,C2776034101,C41895202",https://api.openalex.org/works?filter=institutions.id:I4210089147,2023-06-08,2022-02-02
I4210145186,https://ror.org/04vft5g71,Ruth Mott Foundation,nonprofit,http://www.ruthmottfoundation.org/,,2,100,0,2,1,US,United States,Michigan,Flint,43.01401,-83.68714,,I4210145186,,,"C41008148,C33923547,C15744967,C27415008,C39549134,C41895202,C50522688,C60641444,C71924100,C86803240,C94625758,C98147612,C99454951,C105795698,C110269972,C118552586,C136119220,C138816342,C138885662,C142724271,C144024400,C144133560,C145420912,C149923435,C154945302",https://api.openalex.org/works?filter=institutions.id:I4210145186,2023-06-08,2022-02-02
I4210092512,https://ror.org/003ssft94,Seascape Learning (India),company,http://www.seascapelearning.com/,,1,94,0,1,1,IN,India,Delhi,New Delhi,28.633963,77.1771,,I4210092512,,,"C20136886,C25810664,C35578498,C41008148,C41895202,C99613125,C111472728,C111919701,C136764020,C138885662,C199360897,C547195049,C2522767166",https://api.openalex.org/works?filter=institutions.id:I4210092512,2023-06-08,2022-02-02
I4210159105,https://ror.org/050d10n23,Labour Relations Agency,other,https://www.lra.org.uk/,,3,94,0,2,2,GB,United Kingdom,,Belfast,54.6023,-5.926963,,I4210159105,,,"C162324750,C199539241,C162853370,C33923547,C41008148,C178550888,C17744445,C187736073,C127413603,C144133560,C95457728,C97355855,C105795698,C107645774,C108170787,C111472728,C117671659,C120665830,C121332964,C136264566,C136764020,C137335462,C138885662,C138897024,C139807058",https://api.openalex.org/works?filter=institutions.id:I4210159105,2023-06-08,2022-02-02
I4210125498,https://ror.org/0363hbd07,Tinn kommune,government,http://www.tinn.kommune.no/,,1,91,0,1,1,NO,Norway,,Rjukan,59.880493,8.612524,,I4210125498,,,"C6557445,C18903297,C31903555,C59822182,C69661492,C86803240,C87621631,C90856448,C95457728,C97137747,C111368507,C114793014,C120149898,C121332964,C127313418,C144027150,C153294291,C166957645,C185592680,C185933670,C197046000,C205649164,C2775908993,C2776096895,C2776993194",https://api.openalex.org/works?filter=institutions.id:I4210125498,2023-06-08,2022-02-02
I4210137959,https://ror.org/03wnr4x73,Samsung Life Public Welfare Foundation,other,http://www.samsungfoundation.org/html/eng/foundation/share_foundation.asp,,3,88,0,3,3,KR,South Korea,,Seoul,37.53818,126.99855,,I4210137959,,,"C17744445,C144024400,C77805123,C138496976,C199539241,C36289849,C71924100,C15744967,C95457728,C99454951,C125209646,C126322002,C128593788,C134018914,C138885662,C141071460,C142724271,C150903083,C166735990,C166957645,C168563851,C190248442,C190385971,C191935318,C194828623",https://api.openalex.org/works?filter=institutions.id:I4210137959,2023-06-08,2022-02-02
I4210086983,https://ror.org/001gmby50,Oracle (Spain),company,https://www.oracle.com/es/index.html,,2,83,0,2,1,ES,Spain,,Madrid,40.521442,-3.889153,I1342911587,I4210086983,,,"C86803240,C33923547,C199360897,C154945302,C205649164,C127313418,C31972630,C41008148,C11413529,C71924100,C74750220,C91306197,C95457728,C98045186,C106131492,C109718341,C111472728,C111919701,C115961682,C118552586,C119599485,C121332964,C124101348,C126255220,C127413603",https://api.openalex.org/works?filter=institutions.id:I4210086983,2023-06-08,2022-02-02
I4210096772,https://ror.org/00twdh217,Clarovita Nutrition (Canada),company,http://www.clarovita.com/,,2,83,0,2,1,CA,Canada,Quebec,Saint-Laurent,45.49267,-73.71563,,I4210096772,,,"C127313418,C523546767,C151730666,C54355233,C55493867,C178790620,C185592680,C86803240,C49040817,C59822182,C62520636,C104317684,C107872376,C111919701,C113196181,C119599485,C121332964,C127413603,C140793950,C144027150,C147789679,C171250308,C175605896,C192562407,C206755178",https://api.openalex.org/works?filter=institutions.id:I4210096772,2023-06-08,2022-02-02
I4210088253,https://ror.org/003xwgp31,The Roumel Group,nonprofit,http://theroumelgroup.com/,,3,82,0,2,1,US,United States,Maryland,Potomac,39.06237,-77.19083,,I4210088253,,,"C41008148,C127413603,C526734887,C39432304,C154945302,C205649164,C52146309,C62520636,C71924100,C78762247,C87717796,C90509273,C91375879,C95457728,C105795698,C107327155,C107826830,C111472728,C111919701,C112930515,C119857082,C120665830,C121332964,C123657996,C124101348",https://api.openalex.org/works?filter=institutions.id:I4210088253,2023-06-08,2022-02-02
I2800153065,https://ror.org/02zpajz15,Bates Technical College,education,http://www.bates.ctc.edu/,,3,79,0,2,1,US,United States,Washington,Tacoma,47.252327,-122.44698,,I2800153065,,,"C121332964,C127313418,C97355855,C41008148,C159985019,C99454951,C205649164,C62520636,C71924100,C111368507,C111919701,C153294291,C185592680,C191897082,C192562407,C74909509,C77595967,C77805123,C107993555,C109359841,C112950240,C118552586,C127413603,C138496976,C144024400",https://api.openalex.org/works?filter=institutions.id:I2800153065,2023-06-08,2018-05-17
I3132318779,https://ror.org/018jek817,Shuchiin University,education,http://www.shuchiin.ac.jp/,,88,78,0,4,2,JP,Japan,,Kyoto,34.91438,135.76575,,I3132318779,,,"C138885662,C95457728,C27206212,C205649164,C166957645,C75699723",https://api.openalex.org/works?filter=institutions.id:I3132318779,2023-06-08,2021-03-01
I4210130846,https://ror.org/02rmnz491,Magna,archive,https://www.visitmagna.co.uk/,,4,77,0,2,1,GB,United Kingdom,,Rotherham,53.419365,-1.387186,,I4210130846,,,"C144024400,C15744967,C162324750,C19417346,C17744445,C41895202,C77805123,C94625758,C111472728,C118084267,C136264566,C138885662,C144133560,C145420912,C162853370,C199539241,C555826173,C2776548248,C2778137410,C2780378061,C2780510313,C2781440851,C31829608,C33923547,C36289849",https://api.openalex.org/works?filter=institutions.id:I4210130846,2023-06-08,2022-02-02
I4210086280,https://ror.org/001fszg24,Punxsutawney Area Hospital,healthcare,http://www.pah.org/,,12,75,0,3,1,US,United States,Pennsylvania,Punxsutawney,40.95548,-78.97031,,I4210086280,,,"C15744967,C17744445,C144024400,C19417346,C33923547,C145420912,C199539241,C71924100,C187736073,C162324750,C41008148",https://api.openalex.org/works?filter=institutions.id:I4210086280,2023-06-08,2022-02-02
I4210132629,https://ror.org/03b855a97,Sorbisense (Denmark),company,http://www.sorbisense.com/,,3,73,0,2,2,DK,Denmark,,Viborg,56.48621,9.578488,,I4210132629,,,"C76155785,C127313418,C127413603,C140779682,C31972630,C86803240,C87717796,C39432304,C94915269,C41008148,C18903297,C106131492,C62520636,C119599485,C120665830,C121332964,C187320778,C192562407,C159750122,C205649164,C107872376,C58640448,C76886044,C159390177,C178790620",https://api.openalex.org/works?filter=institutions.id:I4210132629,2023-06-08,2022-02-02
I4210120924,https://ror.org/02mab7v83,Potawatomi Business Development (United States),company,http://www.potawatomibdc.com/,,2,72,0,2,1,US,United States,Wisconsin,Milwaukee,43.04297,-87.95466,,I4210120924,,,"C162324750,C2524010,C17744445,C29279314,C33842695,C33923547,C38834483,C40293303,C41008148,C47446073,C50825304,C62520636,C64424096,C66322947,C66938386,C76155785,C78519656,C83009810,C86803240,C89227174,C95457728,C97355855,C105639569,C113608303,C114793014",https://api.openalex.org/works?filter=institutions.id:I4210120924,2023-06-08,2022-02-02
I2801817492,https://ror.org/05drjbx41,MiningWatch Canada,nonprofit,http://miningwatch.ca/,,3,71,0,2,2,CA,Canada,Ontario,Ottawa,45.408905,-75.71792,,I2801817492,,,"C162324750,C77805123,C199539241,C205649164,C15744967,C2777363581,C17744445,C144133560,C144024400,C86803240,C91375879,C95457728,C118518473,C126322002,C126838900,C127313418,C127413603,C156005406,C158016649,C166957645,C169437150,C187736073,C190253527,C2776007630,C2776748549",https://api.openalex.org/works?filter=institutions.id:I2801817492,2023-06-08,2018-05-17
I2799988334,https://ror.org/04mvq4v36,Malaria No More,nonprofit,https://www.malarianomore.org/,,2,67,0,1,1,US,United States,Washington,Seattle,47.64088,-122.326164,,I2799988334,,,"C162324750,C127413603,C17744445,C45355965,C55587333,C66938386,C71924100,C86803240,C93360035,C99454951,C105795698,C110121322,C134306372,C138816342,C142724271,C144024400,C144133560,C149923435,C159110408,C177264268,C199360897,C199539241,C203014093,C205649164,C539667460",https://api.openalex.org/works?filter=institutions.id:I2799988334,2023-06-08,2018-05-17
I4210094829,https://ror.org/00qjwgg65,Value-Driven Design Institute,nonprofit,http://www.vddi.org/,,1,67,0,1,1,US,United States,Alabama,Huntsville,34.737194,-86.653046,,I4210094829,,,"C13736549,C17744445,C21547014,C33923547,C41008148,C71822192,C78519656,C105795698,C119857082,C126255220,C127413603,C138852830,C146978453,C162324750,C167740415,C187736073,C199539241,C201995342,C2776291640",https://api.openalex.org/works?filter=institutions.id:I4210094829,2023-06-08,2022-02-02
I4210151329,https://ror.org/03wpmcv13,Education Through Music,nonprofit,https://etmonline.org/,,12,67,0,6,2,US,United States,New York,New York,40.751354,-73.97658,,I4210151329,,,"C121332964,C62520636,C33923547,C109214941,C7602139,C185544564,C24890656,C117137515,C72319582,C2781204021,C2524010,C52233224,C200006409,C3909970,C41008148,C37914503,C206094082,C134306372,C105795698,C2776196297,C132459708",https://api.openalex.org/works?filter=institutions.id:I4210151329,2023-06-08,2022-02-02
I4210118283,https://ror.org/02h15pd98,Osstell (Sweden),company,http://www.osstell.com/,,11,64,0,1,1,SE,Sweden,,Gothenburg,57.707806,11.978734,,I4210118283,,,"C144133560,C162324750,C86803240,C17744445,C199539241,C2781127519,C33923547,C175444787,C34447519,C41008148,C127413603,C31903555,C185592680,C190253527,C199360897,C126322002,C134018914,C48103436,C11413529,C144024400,C71924100",https://api.openalex.org/works?filter=institutions.id:I4210118283,2023-06-08,2022-02-02
I4210166674,https://ror.org/05srkg434,Farm Safety For Just Kids,nonprofit,http://www.farmsafetyforjustkids.org/,,8,64,0,3,2,US,United States,Iowa,Urbandale,41.638237,-93.77343,,I4210166674,,,"C71924100,C99454951,C199539241,C142724271,C17744445,C187155963,C144024400,C127413603,C149923435,C162324750,C77595967,C144133560,C166957645,C205649164,C86803240,C95457728,C118518473,C18903297,C526869908,C545542383,C33923547,C45355965,C166735990,C105795698,C3017944768",https://api.openalex.org/works?filter=institutions.id:I4210166674,2023-06-08,2022-02-02
I4210107065,https://ror.org/01n3jtg54,Silicon Valley Independent Living Center,nonprofit,http://svilc.org/,,5,62,0,1,1,US,United States,California,San Jose,37.343555,-121.87802,,I4210107065,,,"C15744967,C17744445,C11171543,C162324750,C118552586,C142362112,C144024400,C71924100,C199539241",https://api.openalex.org/works?filter=institutions.id:I4210107065,2023-06-08,2022-02-02
I4210165833,https://ror.org/05ttdb909,Max Perutz Library,archive,http://cores.imp.ac.at/max-perutz-library/,,2,61,0,1,1,AT,Austria,,Vienna,48.18823,16.401655,,I4210165833,,,"C2911011838,C11960822,C29537977,C30481170,C46141821,C53420372,C54355233,C55493867,C2778354886,C2779281246,C2779933727,C2910992960,C8502773,C63491729,C71924100,C73397532,C83640560,C86803240,C95444343,C97029542,C104317684,C115821613,C121332964,C121608353,C126322002",https://api.openalex.org/works?filter=institutions.id:I4210165833,2023-06-08,2022-02-02
I2802047347,https://ror.org/02ctkg564,Nebraska Christian College,education,http://nechristian.edu/,,4,60,0,1,1,US,United States,Nebraska,Papillion,41.12176,-96.09436,,I2802047347,,,"C138885662,C27206212,C142362112,C95457728,C41008148,C15744967,C39549134,C41895202,C56739046,C68489960,C74256435,C74916050,C77805123,C88251983,C91304198,C105795698,C111472728,C119857082,C120665830,C121332964,C124101348,C124952713,C126255220,C127413603,C133979268",https://api.openalex.org/works?filter=institutions.id:I2802047347,2023-06-08,2018-05-17
I4210099978,https://ror.org/00x2mvg12,Ozymes (Canada),company,http://www.ozymes.ca/,,2,60,1.0,2,1,CA,Canada,Quebec,Trois-Rivières,46.35213,-72.53761,,I4210099978,,,"C2781162966,C42360764,C46141821,C62520636,C71924100,C112950240,C120665830,C121332964,C127413603,C142724271,C159985019,C160892712,C178790620,C185592680,C191897082,C192562407,C521977710,C2777869788,C2779251873,C136525101,C196029304,C13965031,C26771246,C33923547,C41008148",https://api.openalex.org/works?filter=institutions.id:I4210099978,2023-06-08,2022-02-02
I4210138400,https://ror.org/04dk3f152,Fondation pour la Santé Reproductrice et l'Education Familiale,nonprofit,http://www.fosref.org/,,15,60,0,4,2,HT,Haiti,,Port-au-Prince,18.546135,-72.33513,,I4210138400,,,"C71924100,C86803240,C127413603,C185592680,C78519656,C121332964,C121752807,C99454951,C54355233,C18903297,C149923435,C15744967,C115901376,C2908647359,C21880701,C142724271,C144024400,C41008148,C199539241,C17744445",https://api.openalex.org/works?filter=institutions.id:I4210138400,2023-06-08,2022-02-02
I4210163482,https://ror.org/05ggtew11,PharmAgra Labs (United States),company,,,4,60,0,2,1,US,United States,North Carolina,Brevard,,,,I4210163482,,,"C86803240,C54355233,C55493867,C185592680,C71924100,C126322002,C2780263894,C178790620,C552990157,C21951064,C61234307,C71240020,C127413603,C129312508,C131584629,C134018914,C142724271,C159985019,C161790260,C169760540,C170493617,C171560689,C179104552,C181389837,C191897082",https://api.openalex.org/works?filter=institutions.id:I4210163482,2023-06-08,2022-02-02
I4210164735,https://ror.org/05pc4pd06,Alaska Department of Labor and Workforce Development,government,http://labor.alaska.gov/,,3,60,0,2,2,US,United States,Alaska,Anchorage,61.201935,-149.93275,,I4210164735,,,"C162324750,C17744445,C41008148,C62520636,C121332964,C33923547,C127413603,C138885662,C95457728,C42475967,C46002017,C47737302,C52119013,C54286561,C67101536,C76758496,C78519656,C83227832,C86803240,C96219163,C97137747,C105367107,C110872660,C111368507,C111472728",https://api.openalex.org/works?filter=institutions.id:I4210164735,2023-06-08,2022-02-02
I4210103600,https://ror.org/00w4c2196,Capco (United States),company,http://www.capcoinc.com/,,14,59,0,2,1,US,United States,Colorado,Colorado City,39.058994,-108.5504,,I4210103600,,,"C144133560,C162324750,C17744445,C10138342,C199539241,C41008148,C18903297,C86803240,C33923547,C40700,C94625758,C73283319,C175444787,C139719470,C138885662,C127413603,C199360897,C187736073,C106159729,C121955636,C121332964,C111919701,C162853370,C34447519,C39389867",https://api.openalex.org/works?filter=institutions.id:I4210103600,2023-06-08,2022-02-02
I4210120323,https://ror.org/03247gm88,Solidtech Animal Health (United States),company,http://www.solidtechah.com/,,5,59,0,3,2,US,United States,Oklahoma,Newcastle,35.276207,-97.59099,,I4210120323,,,"C185592680,C86803240,C54355233,C71924100,C203014093,C205649164,C141231307,C178790620,C55493867,C8891405,C104317684,C126322002,C159047783,C89423630,C24432333",https://api.openalex.org/works?filter=institutions.id:I4210120323,2023-06-08,2022-02-02
I1282180347,https://ror.org/00ed3k275,Documentary Educational Resources,nonprofit,http://www.der.org/,,11,56,0,3,1,US,United States,Massachusetts,Watertown,42.361507,-71.19056,,I1282180347,,,"C142362112,C95457728,C205649164,C199539241,C166957645,C17744445,C41008148,C161191863,C136764020,C144024400,C2778805511,C52119013,C153349607,C138885662",https://api.openalex.org/works?filter=institutions.id:I1282180347,2023-06-08,2016-06-24
I4210098282,https://ror.org/00wjyb955,Million Tech Development (China),company,https://milliontech.com/,,2,56,0,1,1,CN,China,,Hong Kong,22.337938,114.14835,,I4210098282,,,"C62520636,C71924100,C121332964,C86803240,C15744967,C17744445,C24326235,C24890656,C39549134,C41008148,C50522688,C76155785,C84393581,C94915269,C95457728,C97355855,C99508421,C104293457,C108713360,C119599485,C120665830,C121955636,C126322002,C126838900,C127413603",https://api.openalex.org/works?filter=institutions.id:I4210098282,2023-06-08,2022-02-02
I4210158830,https://ror.org/05n714746,Burgersdorp Provincial Hospital,healthcare,http://www.echealth.gov.za/?page_id=32,,1,56,0,1,1,ZA,South Africa,,Burgersdorp,-30.994654,26.32418,,I4210158830,,,"C54355233,C55493867,C71924100,C86803240,C89423630,C90924648,C95457728,C126322002,C127313418,C141071460,C151730666,C166957645,C185592680,C205649164,C501593827,C523546767,C2776102371,C2777914695,C2778512257,C2779454058,C2779499321,C2779708577,C2781253189,C2781276175,C3019249092",https://api.openalex.org/works?filter=institutions.id:I4210158830,2023-06-08,2022-02-02
I4210119253,https://ror.org/02ffzw118,Columbia College - California,education,http://www.gocolumbia.edu/,,10,55,0,3,1,US,United States,California,Sonora,38.031834,-120.38856,I2803041249,I4210119253,,,"C199539241,C33923547,C144024400,C17744445,C15744967,C95457728,C138885662,C41008148,C162324750,C86803240,C145420912,C94625758,C19417346,C41895202",https://api.openalex.org/works?filter=institutions.id:I4210119253,2023-06-08,2022-02-02
I4210125251,https://ror.org/02x30pp94,Royal Society for the Prevention of Accidents,nonprofit,https://www.rospa.com/,,13,54,0,3,2,GB,United Kingdom,,Birmingham,52.46914,-1.920434,,I4210125251,,,"C71924100,C15744967,C17744445,C144133560,C199539241,C144024400,C142724271,C99454951,C162324750,C95457728,C121332964,C187155963,C127413603,C205649164,C3017944768,C39549134,C194828623,C545542383,C41008148,C159110408",https://api.openalex.org/works?filter=institutions.id:I4210125251,2023-06-08,2022-02-02
I4210092025,https://ror.org/00k8d8f82,The Bowes Museum,archive,https://www.thebowesmuseum.org.uk/,,7,53,0,2,1,GB,United Kingdom,,Durham,54.54258,-1.91547,,I4210092025,,,"C166957645,C95457728,C205649164,C142362112,C138885662,C195244886,C41008148,C127413603,C185592680",https://api.openalex.org/works?filter=institutions.id:I4210092025,2023-06-08,2022-02-02
I2800384580,https://ror.org/01tx99335,Maysville Community and Technical College,education,http://maysville.kctcs.edu/,,8,52,0,2,1,US,United States,Kentucky,Maysville,38.65798,-83.81606,I2802646605,I2800384580,,,"C41008148,C15744967,C111919701,C71924100,C162324750,C144024400,C17744445,C86803240,C33923547,C127413603,C54355233,C187736073,C105795698,C19417346,C199539241,C154945302,C2522767166",https://api.openalex.org/works?filter=institutions.id:I2800384580,2023-06-08,2018-05-17
I4210098656,https://ror.org/00gyq3v51,Hospital Pitas,healthcare,http://hpitas.moh.gov.my/v2/,,5,52,0,2,2,MY,Malaysia,,Kudat,6.713099,117.02893,,I4210098656,,,"C71924100,C126322002,C86803240,C142724271,C54355233,C134018914,C141071460,C121608353,C90924648,C185592680,C126838900,C164705383,C55493867",https://api.openalex.org/works?filter=institutions.id:I4210098656,2023-06-08,2022-02-02
I4210133825,https://ror.org/03c7nm582,Innovimmune Biotherapeutics (United States),company,http://www.innovimmune.com/,,4,52,0,2,1,US,United States,New York,New York,40.656666,-73.94832,,I4210133825,,,"C86803240,C71924100,C203014093,C54355233,C55493867,C170493617,C126322002,C185592680,C142724271,C98274493,C2778938600,C89951826,C104317684,C2776885963,C2779134260,C8891405,C159654299,C121332964,C146978453,C147176958,C147483822,C153294291,C153911025,C159047783,C162324750",https://api.openalex.org/works?filter=institutions.id:I4210133825,2023-06-08,2022-02-02
I4210117400,https://ror.org/02dn7km29,Kashihara Insectarium,archive,https://www.city.kashihara.nara.jp/insect/,,3,51,0,3,2,JP,Japan,,Kashihara-shi,34.491318,135.82689,,I4210117400,,,"C90856448,C505870484,C18903297,C86803240,C111507845,C112672928,C54355233,C514575182,C71924100,C2776453541,C2779234561,C127313418,C2908647359,C2909208804,C144024400,C79414745,C149923435,C151730666,C99454951,C2992994097,C46141821,C54779947,C55493867,C78458016,C116402615",https://api.openalex.org/works?filter=institutions.id:I4210117400,2023-06-08,2022-02-02
I4210140648,https://ror.org/04k7d8776,Tsukuba Municipal Azuma Elementary School,education,http://www.tsukuba.ed.jp/~azuma/,,5,51,0,2,2,JP,Japan,,Tsukuba,36.084156,140.10983,,I4210140648,,,"C15744967,C86803240,C41008148,C138885662,C185592680",https://api.openalex.org/works?filter=institutions.id:I4210140648,2023-06-08,2022-02-02
I4210130504,https://ror.org/03cse4829,Laboratoř Monitoring Praha (Czechia),company,https://www.moni.cz/,,2,50,0,2,2,CZ,Czechia,,Prague,50.10298,14.474525,,I4210130504,,,"C185592680,C107872376,C43617362,C123460561,C178790620,C147789679,C62520636,C72850032,C113196181,C119857082,C121332964,C127413603,C137777109,C145148216,C151304367,C162356407,C171250308,C179998833,C192562407,C205345274,C528095902,C548081761,C4725764,C2776392049,C10390740",https://api.openalex.org/works?filter=institutions.id:I4210130504,2023-06-08,2022-02-02
I4210159356,https://ror.org/052cewm89,Multiform Harvest (United States),company,http://www.multiformharvest.com/,,5,50,0,3,3,US,United States,Washington,Seattle,47.539753,-122.2911,,I4210159356,,,"C127413603,C39432304,C87717796,C94061648,C543218039,C548081761,C510538283,C2777132085,C192562407,C2778999818,C191897082,C185592680,C178790620,C86803240,C55493867,C38304854,C6557445,C18903297,C121332964,C140793950,C150903083,C153294291,C107872376,C31903555,C2781346138",https://api.openalex.org/works?filter=institutions.id:I4210159356,2023-06-08,2022-02-02
I4210119372,https://ror.org/02serab94,Sopac Medical (France),company,http://www.sopac-medical.com/index-e.php,,4,48,0,2,1,FR,France,,Paris,49.01913,2.4437256,,I4210119372,,,"C71924100,C126322002,C33923547,C121332964,C2989005,C120665830,C41008148,C62520636,C126838900,C164705383,C104293457,C42219234,C134018914,C134306372,C134786449,C136496925,C141071460,C142724271,C151730666,C154945302,C165801399,C178790620,C179104552,C185592680,C188414643",https://api.openalex.org/works?filter=institutions.id:I4210119372,2023-06-08,2022-02-02
I4210132319,https://ror.org/047n2sq83,Wicomico County Health Department,government,https://www.wicomicohealth.org/,,3,48,3.0,2,1,US,United States,Maryland,Salisbury,38.365574,-75.599915,,I4210132319,,,"C18903297,C86803240,C162324750,C41008148,C17744445,C178790620,C185592680,C127413603,C144133560,C55493867,C59822182,C63809698,C70410870,C71104824,C71924100,C76155785,C83864248,C87717796,C97355855,C99454951,C105795698,C107872376,C110875604,C111919701,C116211729",https://api.openalex.org/works?filter=institutions.id:I4210132319,2023-06-08,2022-02-02
I4210152845,https://ror.org/050bkn381,Interoud Innovation (Spain),company,,,10,48,0,4,2,ES,Spain,,A Coruña,43.362865,-8.411654,,I4210152845,,,"C41008148,C199360897,C86803240,C59822182,C127313418,C151730666,C2777267654,C18903297,C111919701,C127413603,C2777904410,C115903868,C138885662,C149091818,C35578498,C186846655,C33923547,C136764020,C529173508",https://api.openalex.org/works?filter=institutions.id:I4210152845,2023-06-08,2022-02-02
